x,y,zhighRes
489456.1713,5457755.838,11.98
489456.6874,5457756.695,12.01111111
489457.2035,5457757.551,12.04222222
489457.7196,5457758.408,12.07333333
489458.2356,5457759.264,12.10444444
489458.7517,5457760.121,12.13555556
489459.2678,5457760.977,12.16666667
489459.7839,5457761.834,12.19777778
489460.2999,5457762.69,12.22888889
489460.8163,5457763.547,12.26
489461.4001,5457764.359,12.293
489461.9838,5457765.171,12.326
489462.5675,5457765.983,12.359
489463.1513,5457766.795,12.392
489463.735,5457767.606,12.425
489464.3187,5457768.418,12.458
489464.9024,5457769.23,12.491
489465.4862,5457770.042,12.524
489466.0699,5457770.854,12.557
489466.6537,5457771.666,12.59
489467.282,5457772.444,12.622
489467.9103,5457773.222,12.654
489468.5385,5457774,12.686
489469.1668,5457774.778,12.718
489469.795,5457775.556,12.75
489470.4233,5457776.334,12.782
489471.0516,5457777.112,12.814
489471.6798,5457777.89,12.846
489472.3081,5457778.668,12.878
489472.9364,5457779.446,12.91
489473.5786,5457780.213,12.95
489474.2207,5457780.979,12.99
489474.8628,5457781.746,13.03
489475.5049,5457782.512,13.07
489476.147,5457783.279,13.11
489476.7891,5457784.046,13.15
489477.4313,5457784.812,13.19
489478.0734,5457785.579,13.23
489478.7155,5457786.346,13.27
489479.3576,5457787.112,13.31
489479.9997,5457787.879,13.343
489480.6419,5457788.645,13.376
489481.284,5457789.412,13.409
489481.9261,5457790.179,13.442
489482.5682,5457790.945,13.475
489483.2103,5457791.712,13.508
489483.8524,5457792.478,13.541
489484.4946,5457793.245,13.574
489485.1367,5457794.012,13.607
489485.7788,5457794.778,13.64
489486.4276,5457795.539,13.671
489487.0764,5457796.3,13.702
489487.7252,5457797.061,13.733
489488.3741,5457797.822,13.764
489489.0229,5457798.583,13.795
489489.6717,5457799.344,13.826
489490.3205,5457800.105,13.857
489490.9693,5457800.866,13.888
489491.6181,5457801.627,13.919
489492.267,5457802.388,13.95
489492.9696,5457803.099,13.983
489493.6722,5457803.811,14.016
489494.3749,5457804.522,14.049
489495.0775,5457805.234,14.082
489495.7801,5457805.945,14.115
489496.4828,5457806.657,14.148
489497.1854,5457807.369,14.181
489497.888,5457808.08,14.214
489498.5907,5457808.792,14.247
489499.2973,5457809.499,14.28
489500.0884,5457810.11,14.311
489500.8794,5457810.722,14.342
489501.6704,5457811.334,14.373
489502.4614,5457811.946,14.404
489503.2524,5457812.558,14.435
489504.0435,5457813.169,14.466
489504.8345,5457813.781,14.497
489505.6255,5457814.393,14.528
489506.4165,5457815.005,14.559
489507.2091,5457815.614,14.59
489508.0353,5457816.178,14.6185
489508.8615,5457816.741,14.647
489509.6877,5457817.304,14.6755
489510.5139,5457817.868,14.704
489511.3401,5457818.431,14.7325
489512.1663,5457818.995,14.761
489512.9925,5457819.558,14.7895
489513.8187,5457820.121,14.818
489514.645,5457820.685,14.8465
489515.4721,5457821.247,14.875
489516.3172,5457821.781,14.9155
489517.1623,5457822.316,14.956
489518.0074,5457822.85,14.9965
489518.8525,5457823.385,15.037
489519.6976,5457823.92,15.0775
489520.5427,5457824.454,15.118
489521.3877,5457824.989,15.1585
489522.2328,5457825.524,15.199
489523.0779,5457826.058,15.2395
489523.923,5457826.593,15.28
489524.7681,5457827.127,15.318
489525.6132,5457827.662,15.356
489526.4582,5457828.197,15.394
489527.3033,5457828.731,15.432
489528.1484,5457829.266,15.47
489528.9935,5457829.801,15.508
489529.8386,5457830.335,15.546
489530.6837,5457830.87,15.584
489531.5288,5457831.405,15.622
489532.3748,5457831.938,15.66
