dist,GT,highRes,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml
0,11.98734251,11.98,11.94655952,9.661866912,12.19649178,13.19809148,13.88538771,12.75693393,13.21117765,14.2,9.670963919,12.21842212,13.18892429,13.80460543,12.76211693,12.91472776
1,12.02894481,12.01111111,11.98121658,9.682049976,12.21387854,13.2347577,13.86885355,12.78836436,13.21117765,14.2,9.699898699,12.23367152,13.22637855,13.82520297,12.79317587,12.94466762
2,12.07054711,12.04222222,12.01585691,9.713231589,12.32705764,13.27134278,13.8533949,12.81982101,13.2086251,14.3,9.728663882,12.24916738,13.26372526,13.84586991,12.82427107,12.97476249
3,12.11214941,12.07333333,12.05048027,9.737729299,12.35972581,13.30784685,13.88298061,12.85130394,13.20277881,14.3,9.757261132,12.26490707,13.30096489,13.86660595,12.8554025,13.00501006
4,12.15375171,12.10444444,12.08508645,9.75978043,12.38698755,13.34427006,13.91597626,12.88281323,13.19147015,14.3,9.785692114,12.28088793,13.33809788,13.88741081,12.88657013,13.035408
5,12.195354,12.13555556,12.11967522,9.783929167,12.40689928,13.38061253,13.94806115,12.91434893,13.19705728,14.3,9.813958493,12.29710732,13.37512469,13.90828416,12.91777395,13.06595399
6,12.2369563,12.16666667,12.15424636,9.81855857,12.42335089,13.4168744,13.97013633,12.94591113,13.19391145,14.3,9.842061933,12.31356262,13.41204577,13.92922573,12.94901393,13.0966457
7,12.2785586,12.19777778,12.18879964,9.845027319,12.43800492,13.4530558,13.96994539,12.97749988,13.20503163,14.3,9.8700041,12.33025118,13.44886159,13.95023522,12.98029005,13.12748079
8,12.3201609,12.22888889,12.22333485,9.880011683,12.49346995,13.48915688,14.00348412,13.00911527,13.21702437,14.3,9.897786658,12.34717035,13.4855726,13.97131232,13.01160229,13.15845696
9,12.3617632,12.26,12.25785176,9.898157135,12.48559913,13.52517776,14.04733204,13.04075735,13.23266419,14.3,9.925411272,12.36431749,13.52217926,13.99245673,13.04295063,13.18957188
10,12.39899503,12.293,12.29235015,9.926124499,12.49009246,13.56111858,14.05911357,13.0724262,13.2563643,14.3,9.952879606,12.38168998,13.55868201,14.01366817,13.07433504,13.22082321
11,12.43622686,12.326,12.3268298,9.948865585,12.50931106,13.59697948,14.06074541,13.10412188,13.27464274,14.3,9.980193326,12.39928516,13.59508133,14.03494633,13.10575549,13.25220863
12,12.47345868,12.359,12.36129048,9.978697541,12.4516735,13.63276059,14.06284578,13.13584448,13.29522571,14.3,10.0073541,12.41710039,13.63137765,14.05629091,13.13721198,13.28372582
13,12.51069051,12.392,12.39573197,10.01110792,12.50129629,13.66846205,14.06692045,13.16759404,13.30946335,14.3,10.03436358,12.43513304,13.66757145,14.07770162,13.16870447,13.31537246
14,12.54792234,12.425,12.43015405,10.04537472,12.50697255,13.70408399,14.08815736,13.19937065,13.32341219,14.3,10.06122344,12.45338046,13.70366317,14.09917816,13.20023295,13.34714621
15,12.58515417,12.458,12.4645565,10.06659724,12.47157467,13.73962654,14.10850523,13.23117438,13.34207875,14.3,10.08793535,12.47184002,13.73965327,14.12072023,13.23179738,13.37904475
16,12.622386,12.491,12.49893908,10.10264417,12.47590715,13.77508985,14.12797407,13.26300529,13.36394349,14.2,10.11450097,12.49050907,13.77554221,14.14232753,13.26339775,13.41106576
17,12.65961782,12.524,12.53330159,10.15632654,12.47272812,13.81047405,14.1465739,13.29486345,13.39949896,14.2,10.14092196,12.50938497,13.81133045,14.16399977,13.29503404,13.44320691
18,12.69684965,12.557,12.5676438,10.16672268,12.53000469,13.84577926,14.15512388,13.32674893,13.4124736,14.2,10.16719999,12.52846509,13.84701843,14.18573666,13.32670622,13.47546587
19,12.73408148,12.59,12.60196548,10.21560394,12.53960182,13.88100564,14.15872098,13.3586618,13.4465227,14.2,10.19333673,12.54774677,13.88260662,14.20753788,13.35841427,13.50784033
20,12.77044647,12.622,12.63626641,10.26813431,12.53720903,13.9161533,14.16254424,13.39060213,13.46710772,14.2,10.21933383,12.56722739,13.91809547,14.22940314,13.39015817,13.54032795
21,12.80681145,12.654,12.67054637,10.31117496,12.57908026,13.9512224,14.16680661,13.42256999,13.49696347,14.2,10.24519296,12.5869043,13.95348544,14.25133215,13.4219379,13.57292641
22,12.84317644,12.686,12.70480514,10.35393402,12.58834344,13.98621306,14.18650442,13.45456546,13.52231679,14.2,10.2709158,12.60677486,13.98877698,14.27332461,13.45375342,13.60563339
23,12.87954143,12.718,12.73904249,10.385618,12.59231474,14.02112541,14.23119036,13.48658858,13.54865729,14.2,10.29650399,12.62683642,14.02397056,14.29538022,13.48560473,13.63844655
24,12.91590642,12.75,12.77325821,10.40346381,12.6,14.0559596,14.28062084,13.51863945,13.5819171,14.2,10.32195921,12.64708636,14.05906661,14.31749868,13.5174918,13.67136358
25,12.9522714,12.782,12.80745207,10.441577,12.6,14.09071576,14.30818955,13.55071812,13.60412013,14.2,10.34728313,12.66752203,14.09406562,14.3396797,13.5494146,13.70438215
26,12.98863639,12.814,12.84162384,10.46120984,12.57204744,14.12539402,14.3295475,13.58282467,13.62969318,14.2,10.3724774,12.68814078,14.12896801,14.36192298,13.58137312,13.73749993
27,13.02500138,12.846,12.8757733,10.4882805,12.6,14.15999452,14.33995616,13.61495916,13.65835861,14.2,10.39754369,12.70893998,14.16377427,14.38422821,13.61336733,13.7707146
28,13.06136636,12.878,12.90990024,10.52133342,12.6,14.19451739,14.35623316,13.64712166,13.69231936,14.2,10.42248367,12.72991699,14.19848483,14.40659511,13.6453972,13.80402383
29,13.09773135,12.91,12.94400442,10.51388991,12.61478443,14.22896277,14.38887405,13.67931225,13.7234696,14.2,10.447299,12.75106917,14.23310016,14.42902338,13.67746272,13.83742529
30,13.13209944,12.95,12.97808564,10.53014464,12.64166482,14.2633308,14.42414334,13.71153099,13.75621683,14.2,10.47199134,12.77239387,14.26762071,14.45151271,13.70956386,13.87091667
31,13.16646752,12.99,13.01214365,10.54834357,12.65936979,14.29762161,14.45892363,13.74377796,13.79058683,14.2,10.49656237,12.79388846,14.30204694,14.47406281,13.74170061,13.90449564
32,13.20083561,13.03,13.04617825,10.5577661,12.67962681,14.33183533,14.47812774,13.77605321,13.82574138,14.2,10.52101374,12.81555029,14.33637931,14.49667338,13.77387293,13.93815987
33,13.23520369,13.07,13.0801892,10.57866024,12.708343,14.3659721,14.49160541,13.80835683,13.85331692,14.2,10.54534712,12.83737673,14.37061826,14.51934412,13.80608081,13.97190703
34,13.26957178,13.11,13.11417629,10.59021664,12.74336092,14.40003205,14.51821163,13.84068887,13.8926785,14.2,10.56956418,12.85936513,14.40476426,14.54207474,13.83832422,14.0057348
35,13.30393987,13.15,13.14813929,10.60660513,12.7877699,14.43401533,14.54633417,13.87304942,13.92355552,14.2,10.59366658,12.88151286,14.43881777,14.56486495,13.87060314,14.03964086
36,13.33830795,13.19,13.18207798,10.6216892,12.8,14.46792206,14.57440993,13.90543853,13.95348688,14.2,10.61765598,12.90381727,14.47277923,14.58771443,13.90291756,14.07362288
37,13.37267604,13.23,13.21599214,10.63876559,12.80222517,14.50175238,14.59396587,13.93785628,13.98971239,14.2,10.64153404,12.92627572,14.50664911,14.61062289,13.93526743,14.10767853
38,13.40704412,13.27,13.24988154,10.6643737,12.82224332,14.53550642,14.62084293,13.97030273,14.022807,14.2,10.66530245,12.94888557,14.54042786,14.63359005,13.96765275,14.1418055
39,13.44141221,13.31,13.28374597,10.6809082,12.84226147,14.56918433,14.65050052,14.00277797,14.06457115,14.2,10.68896285,12.97164419,14.57411593,14.65661559,14.0000735,14.17600144
40,13.47435904,13.343,13.3175852,10.69623607,12.86854431,14.60278623,14.67383085,14.03528204,14.09340825,14.2,10.71251691,12.99454893,14.60771379,14.67969922,14.03252964,14.21026405
41,13.50730586,13.376,13.351399,10.7168991,12.88249647,14.63631226,14.69712742,14.06781504,14.13203974,14.1,10.73596631,13.01759715,14.64122189,14.70284064,14.06502115,14.24459099
42,13.54025269,13.409,13.38518716,10.73349997,12.90880007,14.66976256,14.72038966,14.10037701,14.16932143,14.1,10.75931269,13.0407862,14.67464068,14.72603956,14.09754802,14.27897993
43,13.57319951,13.442,13.41894944,10.74904102,12.9441541,14.70313726,14.74361702,14.13296804,14.21716946,14.1,10.78255774,13.06411346,14.70797062,14.74929568,14.13011023,14.31342856
44,13.60614634,13.475,13.45268564,10.7692156,12.95595729,14.7364365,14.76680892,14.16558819,14.24525996,14.1,10.8057031,13.08757628,14.74121217,14.7726087,14.16270774,14.34793455
45,13.63909317,13.508,13.48639552,10.78417138,12.97132433,14.76966041,14.7899648,14.19823753,14.30420463,14.1,10.82875045,13.11117202,14.77436578,14.79597832,14.19534053,14.38249557
46,13.67203999,13.541,13.52007887,10.80532834,12.99222932,14.80280912,14.81308411,14.23091614,14.32834196,14.1,10.85170146,13.13489804,14.80743191,14.81940424,14.22800859,14.41710929
47,13.70498682,13.574,13.55373546,10.8182416,13.01694288,14.83588278,14.83616626,14.26362407,14.36627959,14.1,10.87455778,13.15875169,14.84041102,14.84288617,14.26071189,14.4517734
48,13.73793364,13.607,13.58736507,10.85350153,13.1982478,14.86888151,14.85921072,14.2963614,14.40925939,14.1,10.89732108,13.18273034,14.87330356,14.86642381,14.29345041,14.48648556
49,13.77088047,13.64,13.62096747,10.87114915,13.21534313,14.90180546,14.8822169,14.3291282,14.45992582,14.1,10.91999303,13.20683135,14.90610999,14.89001687,14.32622413,14.52124345
50,13.80297514,13.671,13.65454245,10.91366341,13.2832501,14.93465475,14.90518424,14.36192454,14.48299536,14.1,10.94257529,13.23105207,14.93883075,14.91366503,14.35903302,14.55604475
51,13.83506981,13.702,13.68808977,10.93289776,13.25351832,14.96742953,14.92811219,14.39475049,14.51729789,14.1,10.96506953,13.25538987,14.97146632,14.93736802,14.39187706,14.59088713
52,13.86716448,13.733,13.72160923,10.95152885,13.24293064,15.00012992,14.95100017,14.42760611,14.57706373,14,10.9874774,13.27984211,15.00401715,14.96112552,14.42475623,14.62576827
53,13.89925915,13.764,13.75510059,10.96965279,13.26095824,15.03275607,14.97384763,14.46049148,14.60060177,14,11.00980058,13.30440614,15.03648368,14.98493725,14.45767051,14.66068583
54,13.93135382,13.795,13.78856363,10.9882289,13.28946258,15.0653081,14.996654,14.49340666,14.6532966,14,11.03204074,13.32907933,15.06886638,15.0088029,14.49061987,14.69563749
55,13.96344848,13.826,13.82199813,11.0074512,13.36161116,15.09778616,15.01941871,14.52635173,14.6896463,14,11.05419952,13.35385903,15.10116571,15.03272217,14.52360429,14.73062094
56,13.99554315,13.857,13.85540387,11.03316584,13.40191233,15.13019038,15.0421412,14.55932675,14.73402466,14,11.07627861,13.3787426,15.13338211,15.05669477,14.55662375,14.76563384
57,14.02763782,13.888,13.88878063,11.05416032,13.42290776,15.16252089,15.06482092,14.59233179,14.7742464,14,11.09827966,13.40372741,15.16551606,15.08072041,14.58967823,14.80067387
58,14.05973249,13.919,13.92212817,11.07550916,13.44699241,15.19477783,15.0960319,14.62536693,14.80831628,14,11.12020434,13.42881081,15.19756799,15.10479877,14.6227677,14.8357387
59,14.09182716,13.95,13.95544629,11.10011402,13.48743119,15.22696133,15.12747307,14.65843222,14.84523063,14,11.14205431,13.45399016,15.22953837,15.12892958,14.65589214,14.870826
60,14.12151913,13.983,13.98873475,11.1244609,13.52847352,15.25907153,15.1587109,14.69152775,14.88343886,13.9,11.16383124,13.47926282,15.26142765,15.15311252,14.68905153,14.90593346
