dist,GT,highRes,ShighRes,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml,RWGPS
1,0.041602299,0.03111111,0.034657066,0.02893478,0.015249402,0.037454262,0.020597541,0.031058944,0.029939854,0
2,0.041602299,0.03111111,0.034640326,0.028765183,0.015495862,0.037346715,0.020666942,0.031095196,0.030094875,0.1
3,0.041602299,0.03111111,0.034623363,0.02859725,0.015739681,0.037239624,0.020736046,0.031131427,0.03024757,0
4,0.041602299,0.03111111,0.034606178,0.028430982,0.01598086,0.037132989,0.020804851,0.031167634,0.030397941,0
5,0.041602299,0.03111112,0.03458877,0.028266379,0.016219399,0.03702681,0.02087336,0.031203819,0.030545986,0
6,0.041602299,0.03111111,0.034571139,0.02810344,0.016455297,0.036921087,0.02094157,0.031239982,0.030691705,0
7,0.041602299,0.03111111,0.034553286,0.027942167,0.016688554,0.03681582,0.021009483,0.031276122,0.0308351,0
8,0.041602299,0.03111111,0.03453521,0.027782558,0.016919171,0.036711009,0.021077098,0.03131224,0.030976169,0
9,0.041602299,0.03111111,0.034516911,0.027624614,0.017147148,0.036606654,0.021144416,0.031348335,0.031114912,0
10,0.037231828,0.033,0.03449839,0.027468334,0.017372484,0.036502756,0.021211436,0.031384408,0.031251331,0
11,0.037231828,0.033,0.034479646,0.02731372,0.017595179,0.036399313,0.021278158,0.031420458,0.031385424,0
12,0.037231828,0.033,0.03446068,0.02716077,0.017815234,0.036296326,0.021344583,0.031456486,0.031517191,0
13,0.037231828,0.033,0.034441491,0.027009485,0.018032649,0.036193796,0.02141071,0.031492491,0.031646634,0
14,0.037231828,0.033,0.034422079,0.026859864,0.018247423,0.036091721,0.021476539,0.031528474,0.031773751,0
15,0.037231828,0.033,0.034402445,0.026711909,0.018459557,0.035990103,0.021542071,0.031564435,0.031898543,0
16,0.037231828,0.033,0.034382587,0.026565618,0.01866905,0.03588894,0.021607305,0.031600373,0.032021009,-0.1
17,0.037231828,0.033,0.034362508,0.026420992,0.018875902,0.035788234,0.021672241,0.031636288,0.03214115,0
18,0.037231828,0.033,0.034342205,0.02627803,0.019080114,0.035687984,0.02173688,0.031672181,0.032258966,0
19,0.037231828,0.033,0.03432168,0.026136734,0.019281686,0.035588189,0.021801222,0.031708051,0.032374456,0
20,0.036364987,0.032,0.034300933,0.025997102,0.019480617,0.035488851,0.021865265,0.031743899,0.032487621,0
21,0.036364987,0.032,0.034279962,0.025859135,0.019676908,0.035389969,0.021929011,0.031779725,0.032598461,0
22,0.036364987,0.032,0.03425877,0.025722833,0.019870558,0.035291543,0.021992459,0.031815528,0.032706976,0
23,0.036364987,0.032,0.034237354,0.025588195,0.020061568,0.035193573,0.02205561,0.031851309,0.032813165,0
24,0.036364987,0.032,0.034215716,0.025455222,0.020249937,0.035096059,0.022118463,0.031887067,0.032917028,0
25,0.036364987,0.032,0.034193855,0.025323914,0.020435666,0.034999001,0.022181018,0.031922802,0.033018567,0
26,0.036364987,0.032,0.034171772,0.025194271,0.020618754,0.034902399,0.022243276,0.031958516,0.03311778,0
27,0.036364987,0.032,0.034149465,0.025066292,0.020799202,0.034806253,0.022305236,0.031994206,0.033214668,0
