dist,GT,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS
1,0.041602299,0.03441879,0.02893478,0.017981708,0.040000705,0.021455658,0.051100375,0.04067907,0
2,0.041602299,0.034425351,0.028765183,0.01823734,0.039830769,0.021132963,0.050658149,0.04049267,0.1
3,0.041602299,0.034430807,0.02859725,0.017938459,0.039661692,0.020924571,0.050222062,0.040407273,0
4,0.041602299,0.03443517,0.028430982,0.018989947,0.039493476,0.020863409,0.049792066,0.040123181,0
5,0.041602299,0.034438454,0.028266379,0.018921874,0.039326122,0.021002184,0.049368113,0.039940094,0
6,0.041602299,0.034440669,0.02810344,0.018755948,0.039159632,0.021153478,0.048950151,0.039758112,0
7,0.041602299,0.034441829,0.027942167,0.019405226,0.03899401,0.021466743,0.048538133,0.039577235,0
8,0.041602299,0.034441946,0.027782558,0.01987167,0.038829255,0.021799027,0.04813201,0.039397464,0
9,0.041602299,0.034441032,0.027624614,0.020139114,0.038665371,0.02447762,0.047731731,0.039218799,0
10,0.037231828,0.0344391,0.027468334,0.020055085,0.03850236,0.024525496,0.047337248,0.03904124,0
11,0.037231828,0.034436161,0.02731372,0.019285722,0.038340223,0.024330153,0.046948513,0.038864787,0
12,0.037231828,0.034432228,0.02716077,0.019912346,0.038178963,0.024458262,0.046565474,0.038689441,0
13,0.037231828,0.034427314,0.027009485,0.020123542,0.038018581,0.024613631,0.046188085,0.038515202,0
14,0.037231828,0.03442143,0.026859864,0.020652978,0.037859079,0.025030995,0.045816294,0.038342071,0
15,0.037231828,0.034414589,0.026711909,0.021025648,0.03770046,0.025438691,0.045450054,0.038170046,0
16,0.037231828,0.034406803,0.026565618,0.020850685,0.037542725,0.025748762,0.045089315,0.03799913,-0.1
17,0.037231828,0.034398085,0.026420992,0.020941858,0.037385877,0.025540673,0.044734027,0.037829322,0
18,0.037231828,0.034388446,0.02627803,0.021201486,0.037229916,0.025277495,0.044384143,0.037660621,0
19,0.037231828,0.034377899,0.026136734,0.021395915,0.037074846,0.025546517,0.044039611,0.03749303,0
20,0.036364987,0.034366457,0.025997102,0.021421787,0.036920668,0.025817366,0.043700384,0.037326547,0
21,0.036364987,0.034354131,0.025859135,0.021345279,0.036767385,0.026081019,0.043366413,0.037161173,0
22,0.036364987,0.034340935,0.025722833,0.021453044,0.036614997,0.025906148,0.043037647,0.036996909,0
23,0.036364987,0.034326879,0.025588195,0.021637961,0.036463508,0.025764568,0.042714039,0.036833754,0
